# Per-tag coreference overlay: canticle/canto/start-end/tag_no = identity-first label
# Upgrades under-specified 04-tags labels (bare names, periphrases) to their identity-first
# form, applied at load_tags() so every consumer sees the same per-tag identity.
# Generated by 05-registry/coreference.py; human-reviewable before committing.
inferno/6/76-84/12 = Arrigo Mainardi
inferno/9/16-33/14 = Giuda Scarïotto
inferno/19/31-39/1 = Niccolò III
inferno/19/31-39/2 = Niccolò III
inferno/19/31-39/4 = Niccolò III
inferno/19/31-39/12 = Niccolò III
inferno/19/31-39/14 = Niccolò III
inferno/19/46-48/1 = Niccolò III
inferno/19/46-48/2 = Niccolò III
inferno/19/46-48/4 = Niccolò III
inferno/19/46-48/5 = Niccolò III
inferno/19/118-123/2 = Niccolò III
inferno/19/118-123/3 = Niccolò III
inferno/19/118-123/4 = Niccolò III
inferno/22/40-45/1 = Rubicante pazzo
inferno/22/40-45/2 = Rubicante pazzo
inferno/22/40-45/3 = Rubicante pazzo
inferno/22/40-45/5 = Rubicante pazzo
inferno/22/55-57/1 = Cirïatto sannuto
inferno/22/55-57/2 = Cirïatto sannuto
inferno/25/136-141/11 = Buoso Donati
inferno/29/13-21/13 = Geri del Bello
inferno/29/124-139/6 = Niccolò III
inferno/31/142-145/2 = Giuda Scarïotto
inferno/32/85-96/3 = conte Ugolino
inferno/32/85-96/4 = conte Ugolino
inferno/32/85-96/7 = conte Ugolino
inferno/32/85-96/11 = conte Ugolino
inferno/32/85-96/12 = conte Ugolino
inferno/32/85-96/14 = conte Ugolino
inferno/32/85-96/16 = conte Ugolino
inferno/32/85-96/18 = conte Ugolino
inferno/33/16-27/1 = arcivescovo Ruggieri
inferno/33/16-27/2 = conte Ugolino
inferno/33/16-27/7 = conte Ugolino
inferno/33/16-27/9 = conte Ugolino
inferno/33/16-27/12 = conte Ugolino
inferno/33/16-27/13 = conte Ugolino
inferno/33/16-27/14 = conte Ugolino
inferno/33/28-36/1 = arcivescovo Ruggieri
inferno/33/28-36/2 = conte Ugolino
inferno/33/28-36/3 = arcivescovo Ruggieri
inferno/33/28-36/4 = arcivescovo Ruggieri
inferno/33/28-36/10 = arcivescovo Ruggieri
inferno/33/28-36/11 = conte Ugolino
inferno/33/28-36/12 = conte Ugolino
inferno/33/28-36/14 = conte Ugolino
inferno/33/37-54/1 = conte Ugolino
inferno/33/37-54/2 = conte Ugolino
inferno/33/37-54/4 = conte Ugolino
inferno/33/37-54/8 = conte Ugolino
inferno/33/37-54/13 = conte Ugolino
inferno/33/37-54/14 = conte Ugolino
inferno/33/37-54/16 = conte Ugolino
inferno/33/37-54/17 = conte Ugolino
inferno/33/37-54/21 = conte Ugolino
inferno/33/37-54/22 = conte Ugolino
inferno/33/37-54/23 = conte Ugolino
inferno/33/37-54/24 = conte Ugolino
inferno/33/37-54/25 = conte Ugolino
inferno/33/55-66/1 = conte Ugolino
inferno/33/55-66/3 = conte Ugolino
inferno/33/55-66/4 = conte Ugolino
inferno/33/55-66/6 = conte Ugolino
inferno/33/55-66/10 = conte Ugolino
inferno/33/55-66/12 = conte Ugolino
inferno/33/55-66/14 = conte Ugolino
inferno/33/55-66/17 = conte Ugolino
inferno/33/55-66/19 = conte Ugolino
inferno/33/55-66/20 = conte Ugolino
inferno/33/67-75/3 = conte Ugolino
inferno/33/67-75/5 = conte Ugolino
inferno/33/67-75/6 = conte Ugolino
inferno/33/67-75/10 = conte Ugolino
inferno/33/67-75/11 = conte Ugolino
inferno/33/67-75/13 = conte Ugolino
inferno/33/67-75/14 = conte Ugolino
inferno/33/67-75/15 = conte Ugolino
inferno/33/76-78/1 = conte Ugolino
inferno/33/76-78/2 = conte Ugolino
paradiso/4/25-39/7 = San Giovanni
paradiso/4/88-99/13 = Piccarda Donati
paradiso/4/88-99/14 = Costanza imperadrice
paradiso/4/88-99/15 = Piccarda Donati
paradiso/4/100-114/15 = Piccarda Donati
paradiso/4/100-114/16 = Piccarda Donati
paradiso/8/49-57/1 = Sibilla Cumana
paradiso/8/49-57/3 = Sibilla Cumana
paradiso/8/49-57/4 = Sibilla Cumana
paradiso/8/49-57/5 = Sibilla Cumana
paradiso/8/49-57/7 = Sibilla Cumana
paradiso/8/49-57/8 = Sibilla Cumana
paradiso/8/49-57/10 = Sibilla Cumana
paradiso/8/49-57/12 = Sibilla Cumana
paradiso/8/49-57/13 = Sibilla Cumana
paradiso/8/58-66/2 = Sibilla Cumana
paradiso/8/67-75/5 = Sibilla Cumana
paradiso/8/85-93/3 = Sibilla Cumana
paradiso/8/85-93/4 = Sibilla Cumana
paradiso/8/85-93/10 = Sibilla Cumana
paradiso/8/85-93/12 = Sibilla Cumana
paradiso/8/85-93/14 = Sibilla Cumana
paradiso/8/113-120/4 = Sibilla Cumana
