# Canto 13 — The Angelic Discourse on Divine Light and Wisdom

## Scene 1-6: The Vision of the Fifteen Stars
- it: - | en: point of the circle | basis: 1-6

## Scene 7-24: The Movement of the Zodiacal Belt
- it: - | en: point of the circle | basis: 7-24

## Scene 25-30: The Song of the Trinity
- it: - | en: point of the circle | basis: 25-30

## Scene 31-36: The Metaphor of the Wheat
- it: - | en: point of the circle | basis: 31-36

## Scene 37-48: The Metaphor of the Pierced Rib
- it: - | en: point of the circle | basis: 37-48

## Scene 49-60: The Hierarchy of Divine Light
- it: - | en: point of the circle | basis: 49-60

## Scene 61-78: The Descent of Light through the Spheres
- it: - | en: point of the circle | basis: 61-78

## Scene 79-87: The Models of Perfect Reception
- it: - | en: point of the circle | basis: 79-87

## Scene 88-93: Dante’s Unspoken Question
- it: - | en: point of the circle | basis: 88-93

## Scene 94-108: The Purpose of Solomon’s Wisdom
- it: - | en: point of the circle | basis: 94-108

## Scene 109-120: The Danger of Unskilled Interpretation
- it: - | en: point of the circle | basis: 109-120

## Scene 121-129: The Failures of Past Thinkers
- it: - | en: point of the circle | basis: 121-129

## Scene 130-142: The Warning Against Premature Judgment
- it: - | en: point of the circle | basis: 130-142

# recap
Final setting: point of the circle
