# Canto 18 — The Nature of Love and the Passing of the Great Crowd

## Scene 1-9: Dante's Hesitation
- it: - | en: ring | basis: 1-9

## Scene 10-15: Dante's Request
- it: - | en: ring | basis: 10-15

## Scene 16-27: The Mechanics of Desire
- it: - | en: ring | basis: 16-27

## Scene 28-33: The Movement of the Soul
- it: - | en: ring | basis: 28-33

## Scene 34-39: The Deception of Appearances
- it: - | en: ring | basis: 34-39

## Scene 40-45: Dante's Doubt
- it: - | en: ring | basis: 40-45

## Scene 46-48: The Promise of Beatrice
- it: - | en: ring | basis: 46-48

## Scene 49-54: The Essence of Form
- it: - | en: ring | basis: 49-54

## Scene 55-60: The Instinct of the Soul
- it: - | en: ring | basis: 55-60

## Scene 61-63: The Role of Assent
- it: - | en: ring | basis: 61-63

## Scene 64-69: The Basis of Morality
- it: - | en: ring | basis: 64-69

## Scene 70-75: The Power of Free Will
- it: - | en: ring | basis: 70-75

## Scene 76-81: The Night Sky
- it: - | en: ring | basis: 76-81

## Scene 82-87: Dante's Lethargy
- it: - | en: ring | basis: 82-87

## Scene 88-96: The Approaching Crowd
- it: giron | en: circle | basis: 94-94

## Scene 97-102: The Shouts of the Travelers
- it: - | en: circle (giron) | basis: 97-102

## Scene 103-105: The Urgency of the Crowd
- it: - | en: circle (giron) | basis: 103-105

## Scene 106-111: Virgil's Inquiry
- it: - | en: circle (giron) | basis: 106-111

## Scene 112-126: The Abbot's Warning
- it: - | en: circle (giron) | basis: 112-126

## Scene 127-129: Dante's Observation
- it: - | en: circle (giron) | basis: 127-129

## Scene 130-132: Virgil's Direction
- it: - | en: circle (giron) | basis: 130-132

## Scene 133-138: The Final Echoes
- it: - | en: circle (giron) | basis: 133-138

## Scene 139-145: Dante's Drift into Sleep
- it: - | en: circle (giron) | basis: 139-145

# recap
Final setting: circle (giron)
