# Canto 21 — The Encounter with Statius and the Nature of Purgatory

## Scene 1-6: Dante's Thirst
- it: 'mpacciata via | en: troublesome way | basis: 5-5

## Scene 7-13: The Appearance of the Shade
- it: - | en: open spaces along the rock in the fifth circle | basis: 7-13

## Scene 14-21: The Initial Confrontation
- it: - | en: open spaces along the rock in the fifth circle | basis: 14-21

## Scene 22-33: Virgil's Explanation of the Shade's Arrival
- it: - | en: open spaces along the rock in the fifth circle | basis: 22-33

## Scene 34-36: The Inquiry Regarding the Earthquake
- it: - | en: open spaces along the rock in the fifth circle | basis: 34-36

## Scene 37-39: Dante's Anticipation
- it: - | en: open spaces along the rock in the fifth circle | basis: 37-39

## Scene 40-54: The Immutable Nature of Purgatory
- it: - | en: open spaces along the rock in the fifth circle | basis: 40-54

## Scene 55-66: The Cause of the Tremor
- it: - | en: open spaces along the rock in the fifth circle | basis: 55-66

## Scene 67-72: The Shade's Long Exile
- it: - | en: open spaces along the rock in the fifth circle | basis: 67-72

## Scene 73-75: Dante's Impression
- it: - | en: open spaces along the rock in the fifth circle | basis: 73-75

## Scene 76-81: Virgil Demands Identity
- it: - | en: open spaces along the rock in the fifth circle | basis: 76-81

## Scene 82-87: The Shade's Historical Context
- it: - | en: open spaces along the rock in the fifth circle | basis: 82-87

## Scene 88-102: The Praise of the Poet
- it: - | en: open spaces along the rock in the fifth circle | basis: 88-102

## Scene 103-108: Virgil's Gesture of Silence
- it: - | en: open spaces along the rock in the fifth circle | basis: 103-108

## Scene 109-114: The Shade's Confusion
- it: - | en: open spaces along the rock in the fifth circle | basis: 109-114

## Scene 115-120: Dante's Internal Conflict
- it: - | en: open spaces along the rock in the fifth circle | basis: 115-120

## Scene 121-129: The Revelation of Virgil
- it: - | en: open spaces along the rock in the fifth circle | basis: 121-129

## Scene 130-132: The Interrupted Embrace
- it: - | en: open spaces along the rock in the fifth circle | basis: 130-132

## Scene 133-136: The Weight of Love
- it: - | en: open spaces along the rock in the fifth circle | basis: 133-136

# recap
Final setting: open spaces along the rock in the fifth circle
