# Canto 23 — The Encounter with Forese and the Shadows of Limbo

## Scene 1-6: The Father's Command
- it: - | en: the tree | basis: 1-1

## Scene 7-9: Following the Sages
- it: - | en: the tree | basis: 7-9

## Scene 10-15: The Sound of Sorrow
- it: - | en: the tree | basis: 10-15

## Scene 16-24: The Emaciated Crowd
- it: - | en: the tree | basis: 16-24

## Scene 25-30: Reflections on Hunger
- it: - | en: the tree | basis: 25-30

## Scene 31-39: The Scent of Temptation
- it: - | en: the tree | basis: 31-39

## Scene 40-48: An Unexpected Encounter
- it: - | en: the tree | basis: 40-48

## Scene 49-54: Forese's Inquiry
- it: - | en: the tree | basis: 49-54

## Scene 55-60: Dante's Grief
- it: - | en: the tree | basis: 55-60

## Scene 61-75: The Cause of Torment
- it: - | en: the tree | basis: 61-75

## Scene 76-84: A Question of Time
- it: - | en: the tree | basis: 76-84

## Scene 85-96: The Power of Prayer
- it: - | en: the tree | basis: 85-96

## Scene 97-114: A Prophecy of Florence
- it: - | en: the tree | basis: 97-114

## Scene 115-123: Explaining the Companions
- it: - | en: the tree | basis: 115-123

## Scene 124-129: Dante's Destination
- it: - | en: the tree | basis: 124-129

## Scene 130-133: Identifying the Guides
- it: - | en: the tree | basis: 130-133

# recap
Final setting: the tree
