# Canto 24 — The Final Interrogation and the Proclamation of Faith

## Scene 1-9: Beatrice’s Instruction
# (no attributed speech in this scene)

## Scene 10-18: The Celestial Dance
# (no attributed speech in this scene)

## Scene 19-27: The Appearance of the Flame
# (no attributed speech in this scene)

## Scene 28-33: Dante’s Prayer and the Flame’s Turn
- 24:28 lines 28-30 | speaker: Dante | addressee: Beatrice | source: llm | basis: 28-28

## Scene 34-45: The Flame’s Address to Beatrice
# (no attributed speech in this scene)

## Scene 46-51: The Prepared Scholar
# (no attributed speech in this scene)

## Scene 52-57: The First Question
# (no attributed speech in this scene)

## Scene 58-60: The Prayer for Eloquence
- 24:58 lines 58-58 | speaker: Dante | addressee: (none) | source: none | basis: 58-58

## Scene 61-66: Defining Faith
- 24:61 lines 61-66 | speaker: Dante | addressee: (none) | source: none | basis: 61-66

## Scene 67-78: The Logic of Belief
- 24:70 lines 70-78 | speaker: Dante | addressee: San Paolo | source: code | basis: 70-78

## Scene 79-81: The Warning Against Sophistry
# (no attributed speech in this scene)

## Scene 82-87: The Test of the Purse
- 24:86 lines 86-87 | speaker: Dante | addressee: (none) | source: none | basis: 86-87

## Scene 88-96: The Source of Joy
- 24:91 lines 91-96 | speaker: Dante | addressee: San Francesco | source: code | basis: 91-96

## Scene 97-102: The Proof of Truth
- 24:100 lines 100-102 | speaker: Dante | addressee: (none) | source: none | basis: 100-102

## Scene 103-105: The Flame’s Challenge
# (no attributed speech in this scene)

## Scene 106-111: Dante’s Defense
# (no attributed speech in this scene)

## Scene 112-114: The Heavenly Chorus
# (no attributed speech in this scene)

## Scene 115-117: The Guidance of Peter
# (no attributed speech in this scene)

## Scene 118-123: St. Peter’s Prompting
- 24:118 lines 118-123 | speaker: San Pietro | addressee: Dante | source: code | basis: 118-123

## Scene 124-129: The Preparation for Creed
- 24:127 lines 127-147 | speaker: Dante | addressee: San Pietro | source: code | basis: 127-147

## Scene 130-141: The Declaration of the Creed
# (no attributed speech in this scene)

## Scene 142-147: The Spark of Revelation
# (no attributed speech in this scene)

## Scene 148-154: The Final Embrace
# (no attributed speech in this scene)
