# Canto 23 — The Encounter with Forese and the Shadows of Limbo

## Scene 1-6: The Father's Command
# (no attributed speech in this scene)

## Scene 7-9: Following the Sages
# (no attributed speech in this scene)

## Scene 10-15: The Sound of Sorrow
- 23:13 lines 13-13 | speaker: Dante | addressee: Virgilio | source: llm | basis: 13-13

## Scene 16-24: The Emaciated Crowd
# (no attributed speech in this scene)

## Scene 25-30: Reflections on Hunger
# (no attributed speech in this scene)

## Scene 31-39: The Scent of Temptation
# (no attributed speech in this scene)

## Scene 40-48: An Unexpected Encounter
- 23:42 lines 42-42 | speaker: Forese | addressee: Dante | source: code | basis: 42-42

## Scene 49-54: Forese's Inquiry
- 23:49 lines 49-50 | speaker: Forese | addressee: Dante | source: llm | basis: 49-50
- 23:50 lines 50-54 | speaker: Forese | addressee: Dante | source: llm | basis: 52-53

## Scene 55-60: Dante's Grief
- 23:55 lines 55-56 | speaker: Dante | addressee: Forese | source: code | basis: 55-56
- 23:57 lines 57-60 | speaker: Dante | addressee: Forese | source: code | basis: 57-60

## Scene 61-75: The Cause of Torment
- 23:61 lines 61-75 | speaker: Forese | addressee: Dante | source: llm | basis: 61-61

## Scene 76-84: A Question of Time
- 23:76 lines 76-84 | speaker: Dante | addressee: Forese | source: code | basis: 76-84

## Scene 85-96: The Power of Prayer
- 23:85 lines 85-114 | speaker: Forese | addressee: Dante | source: code | basis: 85-114

## Scene 97-114: A Prophecy of Florence
# (no attributed speech in this scene)

## Scene 115-123: Explaining the Companions
- 23:115 lines 115-120 | speaker: Dante | addressee: Forese | source: llm | basis: 115-115
- 23:121 lines 121-130 | speaker: Dante | addressee: Forese | source: llm | basis: 121-121

## Scene 124-129: Dante's Destination
# (no attributed speech in this scene)

## Scene 130-133: Identifying the Guides
# (no attributed speech in this scene)
